time_s,Ox_tank_pressure,CC_pressure,Injector_pressure,Fill_pressure,Ox_tank_temp,CC_temp,Fill_temp,Injector_temp,thrust,event
835.4463405609131,308.83467294178695,302.3220555156289,304.37888120767184,308.59167060418105,21.394084493719493,21.831897157340443,23.561417640624022,23.43560657197935,19.923790032649876,
835.5552806854248,308.90033750165435,302.4804708803632,305.195146403815,306.90558251503455,20.84950654813724,21.268801925136245,22.643755744015472,23.91641829946337,16.93814061917687,
835.6655073165894,306.5350400256914,309.2452510942666,308.9761182547099,302.2045111767699,23.619371567376476,21.655521108109724,21.893473178313236,24.14587809309348,17.809636798292445,
835.7758567333221,304.945086326008,301.06985059114726,308.74000683789603,301.19005048378745,21.42295863866351,21.528714808492612,24.3603166427081,23.573425987736034,19.732072905597462,
835.8866763114929,308.3771801501557,309.9676545147441,309.393874345191,304.46066787963946,24.290967231250416,22.910639256504933,21.73580948337963,21.833426945498744,18.123635110531733,
835.9966974258423,300.80605640279146,301.1391581199457,305.36148352597513,305.5977608091305,22.798494875776775,21.555630311583904,21.026779434996236,23.678492083613524,15.972220397714466,
836.1074731349945,302.0117121400038,302.7959398854951,307.29339904959903,303.6491637899797,20.677528060429758,24.205895333933846,20.315719198943768,21.84196270562793,17.557940806030476,
836.2167937755585,308.5405333387154,300.35891374136844,303.240792969427,300.11888413970786,23.868843221114403,24.71452004562919,23.92827493145373,20.500350918597867,17.023861581338643,
836.3260865211487,309.7387794679949,305.7262175136278,306.7371862010804,308.23096993348815,21.634084549125507,20.314865912547333,20.070932192062237,24.72759711212754,16.84782191218856,
836.4367773532867,303.9185169294506,304.2030432500801,303.11763408068447,307.27240629466246,24.367282961466,24.50554047804094,20.75135002817592,21.814800856622046,19.093134044375578,
836.546543598175,300.19572435740525,308.9302868402604,305.0429382678223,301.9761728356976,21.58701427632011,20.632762219866635,22.283145011885185,21.427858430921532,15.174422415364031,
836.6558122634888,308.73651386310604,309.193493975906,304.98660774741137,307.6649480448399,24.883390138096438,22.859025687552503,20.355506126395113,24.783674601069585,18.564485578653112,
836.7671089172363,304.50454409024536,309.02497858810744,303.04859594601083,307.2090311184228,20.125255582460294,20.121022687462688,22.861063094273618,22.35044162207351,17.535657672582943,
836.8764386177063,304.82680473332294,307.25970136445176,308.83157626290557,308.4202374393945,21.474345905691372,20.130571694809717,22.848665271737545,24.933658549933043,18.12029458886729,
836.9861447811127,308.28975662627977,301.05509230074324,308.27467185317414,309.89521062426877,20.025068427260674,21.86544520218348,24.13764025383003,22.87203700995694,15.769783733441793,
837.094869852066,308.7713275080017,303.51727367135487,302.15867405891646,300.7901804047576,21.77346432253313,22.837506564931857,23.15229366231746,23.340822171636592,17.052762658374924,
837.2056500911713,306.63445720200815,307.6974714050717,307.71705309034775,303.06370963657906,24.249832921493756,20.138711712733436,24.951337231703786,20.33422851125104,15.162067626758862,
837.3164427280426,300.44604575721445,306.38023703767414,308.27399249467777,301.4925729656227,20.312037078192567,23.168320274613443,21.73747391015503,24.17993902332453,16.352105212659573,
837.4269595146179,301.7968569397183,309.1004180076137,300.36712104342865,302.19895890193845,24.66098082826624,23.624606841387163,22.20049377590204,20.744408744050578,15.483373188211631,
837.5381693840027,300.91390944258103,301.4625999811082,301.67282657098906,300.05154630369617,22.637331657225086,22.016892308014434,22.071335878795885,21.391392506747454,17.106145881612672,
